nama;partai;dapil
FIRMAN MUNTACO S.H., M.H.;partai golongan karya;Kalimantan Barat II
FIRMANDEZ S.E., Ak.;partai golongan karya;Aceh II
FIRMANSYAH SH., MH;partai bulan bintang;Jambi
FITRI AGUS LESTARI;persatuan indonesia;Sulawesi Selatan II
FITRI APRILIA;partai solidaritas indonesia;Jawa Timur X
FITRI HAYATI S.Ag;partai keadilan sejahtera;Jawa Barat IV
FITRI MARINA RITONGA S. Kom;partai gerakan indonesia raya;Sumatera Utara II
FITRI YANTI S.E;partai golongan karya;Jambi
FITRIA;partai berkarya;Sumatera Barat II
FITRIA ARISKA SE;partai persatuan pembangunan;Jawa Timur XI
FITRIA DESIANA FATMAWATI S.Pd;persatuan indonesia;Jawa Timur IX
FITRIA SUSILOWATI;partai solidaritas indonesia;Lampung I
FITRIAH ABDUL AZIZ S.Sos;partai bulan bintang;Dki Jakarta II
FITRIAH LINDAWATI;partai berkarya;Jawa Barat II
FITRIANI;partai bulan bintang;Riau II
FITRIANI;partai bulan bintang;Sumatera Utara III
FITRISNA SSi, Apt;partai berkarya;Jawa Barat I
FITRIYAH;persatuan indonesia;Riau I
FITRIYAH;partai berkarya;Lampung II
FITRIYANTI;partai kebangkitan bangsa;Sulawesi Selatan II
FITRO DHARMA HERMAWAN S.DS;partai solidaritas indonesia;Jawa Barat II
FITRYA MAKKI J. SINUNGAN;partai amanat nasional;Lampung I
FLORENCIO MARIO VIEIRA MPM;partai gerakan indonesia raya;Nusa Tenggara Timur II
FLORENSI RATU P;persatuan indonesia;Kalimantan Tengah
FLORIDA YOSEFINA NDENA;partai kebangkitan bangsa;Nusa Tenggara Timur I
FRANKY LEDE MESAWOLE SE;partai gerakan indonesia raya;Nusa Tenggara Timur II
FRANKY LIWIJAYA S.H;persatuan indonesia;Sumatera Utara III
Drs FRANS ANTHONY SIHOMBING MM;partai gerakan indonesia raya;Sumatera Utara II
Drs FRANS BOB OHEE M.A.;partai demokrasi indonesia perjuangan;Papua
Drs FRANS LEBU RAYA;partai demokrasi indonesia perjuangan;Nusa Tenggara Timur I
FRANS MEROGA SURUNG RAJA PANGGABEAN;partai solidaritas indonesia;Jawa Barat IV
FRANSEN G. SIAHAAN SE.,MM;persatuan indonesia;Sumatera Utara II
FRANSISCA RISTRIA JAYA;partai golongan karya;Sulawesi Tengah
Drg FRANSISKA A KUMURUR Sp.KGA;persatuan indonesia;D. I. Yogyakarta
FRANSISKUS SIGIT A. MADO SP;persatuan indonesia;Nusa Tenggara Timur I
FREDDY R. NAPITUPULU;partai golongan karya;Banten III
FREDERICUS AH A.Md;partai solidaritas indonesia;Nusa Tenggara Timur I
Dr. Drs FREDERIK FERNANDEZ M.Pd.;partai berkarya;Nusa Tenggara Timur I
FREDERIK MAIRI S.T;persatuan indonesia;Sulawesi Tengah
FREDI DARMAWAN SE;partai solidaritas indonesia;Jawa Barat II
FREDRIK RONALDO YESNATH;partai amanat nasional;Papua Barat
FREDY EKO SAKTIYO S.Sn;persatuan indonesia;Jawa Timur VI
FRENGKI TANNY BATUWAEL;partai berkarya;Maluku
DR FRIDA MEDINA HAYUPUTRI S.Psi.,M.Psi.,Psi;persatuan indonesia;Jawa Barat VIII
DR. FRIEDRICH M. RUMINTJAP, SPOG (K), MARS;partai nasdem;Jawa Barat V
Hj FRISNI TANTRI;partai berkarya;Sumatera Barat I
FRISTIN AUGUSTINUS S.E, M.H;partai gerakan perubahan indonesia;Dki Jakarta I
FUAD SULAIMY ST, MM;partai solidaritas indonesia;Jawa Tengah II
Ir. H FUAD ZAKARIA;partai bulan bintang;Jawa Barat I
dr G. AYU AMELINDA HANJANI;partai golongan karya;BALI
Ir G. MICHAEL JENO M.M.;partai demokrasi indonesia perjuangan;Kalimantan Barat I
G. RUSDIANTO;persatuan indonesia;Nusa Tenggara Barat II
G.R. AJ. PUTRI PURNANINGRUM;persatuan indonesia;Jawa Tengah IV
GADIS RATNASARI J. SJAHRIR S.H., MCL;persatuan indonesia;Jawa Tengah I
GALUH KARTIKA;partai berkarya;Jawa Tengah III
GALUH SARASWATI LEKSONO;partai amanat nasional;Jawa Tengah VI
GALUH SHAHNAZ MIRANTI;partai persatuan pembangunan;Jawa Barat VIII
GALUH SUNDISIAH;partai solidaritas indonesia;Jawa Tengah III
Drs GANJAR RAZUNI S.H., M.Si;partai golongan karya;Jawa Timur VIII
GANTYO KOESPRADONO;partai nasdem;Jawa Tengah II
GARDA MAHARSI;partai demokrasi indonesia perjuangan;Lampung II
GARI PRIMANANDA S.Si, MM;partai keadilan sejahtera;Jawa Barat XI
GATOT IMAM NUGROHO MBA;partai solidaritas indonesia;Jawa Barat VII
Ir GATOT SUDARIYONO M.Si;partai golongan karya;Dki Jakarta II
Drs GATTA CHAIRUDDIN SH;partai gerakan indonesia raya;Sumatera Utara III
GAYA KARTASASMITA;partai golongan karya;Jawa Barat I
GEDE ARIYUDA SH.;partai nasdem;Jawa Timur VI
GEDE SUGIANYAR SH;partai gerakan indonesia raya;BALI
GELIS RIASARI;partai keadilan sejahtera;Jawa Timur IV
GENESIA WULANDARI M.M;partai golongan karya;D. I. Yogyakarta
Ir GERARD A. M. C. KALIEY;persatuan indonesia;Jawa Barat III
DRS GERILYANSYAH BASRINDU M.M., PhD;partai kebangkitan bangsa;Kalimantan Selatan II
Ir GESANG BUDIARSO M.H;partai golongan karya;Jawa Timur III
GESTY PROBOWATI W;partai berkarya;D. I. Yogyakarta
GHUFRAN;partai keadilan sejahtera;Aceh I
GHUFRON ISLAHUDIN LAHORE;partai keadilan sejahtera;Jawa Timur VII
DR GIDION STEVEN HUTAGALUNG SH, S.TH, MA;partai gerakan indonesia raya;Jawa Tengah I
GILANG FAJAR RAMADHAN S.Sos;partai solidaritas indonesia;Jawa Timur III
GINA ERRY HERNAWATY;partai solidaritas indonesia;Dki Jakarta II
GINA HANDAYANI S. Ag.;partai kebangkitan bangsa;Jawa Timur XI
GIOFEDI S.H.,M.H.;partai golongan karya;Banten II
GIOVANI ANGGASTA S.H.;partai golongan karya;Lampung I
GIRI BASUKI, SH;partai gerakan indonesia raya;Jawa Tengah I
GIRING GANESHA DJUMARYO;partai solidaritas indonesia;Jawa Barat I
GIRRY PRATAMA;persatuan indonesia;Kalimantan Barat I
GITA LAKSITA S.Pd;partai persatuan pembangunan;Banten I
GITA MAHARANI TIRANDA;partai kebangkitan bangsa;Sulawesi Barat
GITA PRILLICIA;partai solidaritas indonesia;Sulawesi Selatan II
GITA SHAHNAZ UTARI;partai persatuan pembangunan;Jawa Barat IX
GITA WIDIASANTY S.IKom., M.Si;partai persatuan pembangunan;Jawa Barat I
GITHA YULIA EKA P;partai solidaritas indonesia;Maluku
GIVIANNA ELY;persatuan indonesia;Aceh II
GLORI NOVITA PAPUTUNGAN;partai gerakan indonesia raya;Sulawesi Utara
GOGO TRI SAMOKO;partai kebangkitan bangsa;Riau II
GOLDA TITING S.Si;partai demokrasi indonesia perjuangan;Sulawesi Selatan I
GOUSTA FERIZA S.H., M.H;partai golongan karya;Banten I
GOZALI MUNIR S.THI;partai kebangkitan bangsa;Banten I
GRACE FROULINE PEQUITA NDOEN;partai kebangkitan bangsa;Nusa Tenggara Timur II
GRACE NATALIE LOUISA;partai solidaritas indonesia;Dki Jakarta III
GUNAWAN HIDAYAT S.T., M.T.;partai golongan karya;Jawa Timur IX
GUNAWAN RAKA SH., MH;partai amanat nasional;Lampung II
GUNGUN SAMBAS, SKM, SHI, SH, M.EPID;partai nasdem;Jawa Barat III
GUNTARAYADI S.P.;partai demokrasi indonesia perjuangan;Aceh II
GUNTHAR HENRI GAMAL BACHROEMSJAH SH;partai berkarya;Lampung II
H GUNTUR SP., MM;partai amanat nasional;Kalimantan Barat I
GUNTUR TRIYONO;partai gerakan indonesia raya;Jawa Barat II
GUSTAV HAKIM;persatuan indonesia;Kalimantan Tengah
GUSTI ISKANDAR SA S.E., M.H.;partai golongan karya;Kalimantan Selatan I
GUSTI MUHAMAD FAISAL;partai bulan bintang;Kalimantan Barat I
H ABDUL ROJI S. Sos. MM;partai kebangkitan bangsa;Banten III
DRS H ANHARUDDIN SE, MM;partai solidaritas indonesia;Aceh I
H ASKAR HL SE;partai persatuan pembangunan;Sulawesi Selatan II
H DUDDY S. SUTANDI SE;partai kebangkitan bangsa;Jawa Barat I
Ir H LM. SJAFEI KAHAR M.Si;partai persatuan pembangunan;Sulawesi Tenggara
H M BAMBANG SUNARYO SH., MH;partai gerakan indonesia raya;Jawa Timur VIII
DRS H MASYKUR IBNU ILYAS;partai kebangkitan bangsa;Jawa Barat VIII
H MUHAMMAD NAJIHUN S.THI;partai kebangkitan bangsa;Dki Jakarta III
DRS H RASTA WIGUNA M.SI;partai kebangkitan bangsa;Jawa Barat IV
H ZAINI DJALIL SH;partai nasdem;Aceh I
H. M. GAMARI SUTRISNO;partai amanat nasional;Jawa Tengah III
Dr. Ir H. A. ABD. RAHMAN HALID M.M;partai kebangkitan bangsa;Sulawesi Selatan I
DRS H. A. BUDIONO M. ED;partai kebangkitan bangsa;Jawa Timur VIII
Drs H. A. HAKAM NAJA M.Si;partai amanat nasional;Jawa Tengah X
Drs H. A. HALIM RIADI;partai berkarya;Jawa Timur VII
H. A. LATIEF HANAFIAH M.Sc;partai kebangkitan bangsa;Kalimantan Selatan I
Drs H. A. M SAID PABOKORI;partai berkarya;Sulawesi Selatan II
H. A. MAS?AD IKHSAN;partai golongan karya;Kalimantan Tengah
H. A. MUHAJIR SH.MH;partai amanat nasional;Jawa Barat XI
Drs H. AAY SAHAL TASTARI;partai persatuan pembangunan;Jawa Barat XI
H. ABBAS ABUBAKAR SH;partai berkarya;Jambi
H. ABD HALIM S.Pd.I;persatuan indonesia;Jawa Timur XI
Dr. Ir H. ABD. AZIZ QAHHAR MUDZAKKAR M.Si;partai amanat nasional;Sulawesi Selatan II
H. ABD. KHALIQ AHMAD;persatuan indonesia;Jawa Barat II
H. ABDUL AZIS S.Ag, M.M.;partai keadilan sejahtera;Sulawesi Selatan II
DR H. ABDUL CHAIR RAMADHAN SH, MH;partai bulan bintang;Dki Jakarta I
H. ABDUL HAKIM SH., MH;persatuan indonesia;Kalimantan Selatan II
dr H. ABDUL HAKIM Sp KK;partai keadilan sejahtera;Kalimantan Timur
H. ABDUL HALIM SH, MM;partai persatuan pembangunan;Banten I
H. ABDUL HARIS FY S.IP, M.Si;partai persatuan pembangunan;Jawa Tengah VII
H. ABDUL HOLIK SH;persatuan indonesia;Jawa Barat XI
H. ABDUL KOLIK, SE;partai kebangkitan bangsa;Jawa Timur VII
H. ABDUL MALIK SH., MH;partai gerakan indonesia raya;Jawa Timur XI
H. ABDUL NASIR S.Ag.;partai demokrasi indonesia perjuangan;Jawa Tengah IX
H. ABDUL SYUKUR;partai golongan karya;Banten III
H. ABDUL SYUKUR SH.;partai bulan bintang;Banten III
DRS H. ABDURACHMAN M.AP;persatuan indonesia;Banten III
H. ABU BAKAR;partai berkarya;Jawa Barat VII
Drs H. ABU BAKAR WASAHUA MH;partai persatuan pembangunan;Sulawesi Selatan III
H. ACEP HUD SYALAHUDIN A.Md;partai keadilan sejahtera;Jawa Barat II
H. ACEP SAEPUDIN;partai berkarya;Jawa Barat VI
Ir H. ACH SYAMSU RIZAL ASIR MBA;partai keadilan sejahtera;Sumatera Selatan I
H. ACHMAD BUCHARI SH;partai persatuan pembangunan;Sulawesi Utara
H. ACHMAD CHAIRUL FARID SE, SH, MH;partai amanat nasional;Jawa Timur II
H. ACHMAD FARIAL;partai persatuan pembangunan;Jawa Barat V
H. ACHMAD FAUZAN H SH., M.Kom.I;partai persatuan pembangunan;Dki Jakarta I
H. ACHMAD MUSTAQIM SP., MM;partai persatuan pembangunan;Jawa Tengah VIII
Ir H. ACHMAD WAHYUDI SH., MH.;partai berkarya;Jawa Timur III
Ir H. ADE BARKAH;partai keadilan sejahtera;Jawa Barat X
H. ADE MIFTAH SE, MM;partai kebangkitan bangsa;Banten II
H. ADE RODIANA;partai nasdem;Jawa Barat II
Dr H. ADHY FIRDAUS SAADY S.E., M.M;partai gerakan indonesia raya;Sulawesi Utara
H. ADLIN UMAR YUSRI TAMBUNAN S.T., M.S.P.;partai golongan karya;Sumatera Utara I
dr H. AGOES KOOSHARTORO SpPD KKV FINASIM;partai keadilan sejahtera;Jawa Timur II
H. AGOES POERNOMO SIP;partai keadilan sejahtera;Jawa Tengah VIII
H. AGUNG SURYAMAL SH;partai gerakan indonesia raya;Jawa Barat I
Ir H. AGUS ARIFIN NU'MANG MS;partai gerakan indonesia raya;Sulawesi Selatan III
H. AGUS BUDI PRASETIYO ST;partai gerakan indonesia raya;Jawa Timur IV
H. AGUS HITOPA SUKMA SH, MSI;partai golongan karya;Jawa Barat V
H. AGUS MAKMUR SANTOSO S.Kom., M.M;partai golongan karya;Jawa Barat II
H. AGUS NUGROHO SH;persatuan indonesia;Jawa Tengah IX
H. AGUS PRIYANTO;persatuan indonesia;Jawa Tengah I
H. AGUS SETIAWAN SH.;partai persatuan pembangunan;Banten II
H. AGUS SULISTIYONO SE;partai kebangkitan bangsa;D. I. Yogyakarta
H. AGUS WIHARTO S.H;partai kebangkitan bangsa;Jawa Tengah VIII
Dr H. AGUSTIAN BUDI PRASETYA M.P.A;partai golongan karya;Jawa Tengah V
Dr H. AHMAD DASAN SH, MA;partai amanat nasional;Bengkulu
Ir H. AHMAD IQBAL SATRIA UTAMA MM;partai keadilan sejahtera;Jawa Timur X
H. AHMAD MUMTAZ RAIS SE., MPA;partai amanat nasional;Jawa Tengah VI
H. AHMAD SUBKI MANSUR;partai persatuan pembangunan;Nusa Tenggara Barat II
Drs H. AHMAD ZACKY SIRADJ;partai golongan karya;Jawa Barat XI
H. AHMADI A. Md;partai keadilan sejahtera;Jawa Tengah II
H. AHMIYUL RAUF;partai keadilan sejahtera;Riau II
Drs H. AHSIN MAKRUF;partai amanat nasional;Jawa Tengah I
H. AKBAR ZULFAKAR ST;partai keadilan sejahtera;Sulawesi Tengah
H. AKHMAD GOESRA SH., M.Si.;partai berkarya;Kalimantan Timur
H. ALEX INDRA LUKMAN;partai demokrasi indonesia perjuangan;Sumatera Barat I
H. ALI MUBARAK A.MD PAR., S.E.;partai persatuan pembangunan;Jawa Barat II
H. ALI NURDIN M.AP;partai persatuan pembangunan;Kalimantan Selatan I
H. ALI ROHMAN Sag;partai nasdem;Jawa Barat XI
H. ALVIN NUGRAHA S.H., MKn., LLM;partai berkarya;Jawa Barat III
H. AMAD RIYADI SE;partai keadilan sejahtera;Jawa Tengah VII
Drs H. AMIN SAID HUSNI;partai kebangkitan bangsa;Jawa Timur III
Ir H. AMRI SIREGAR;partai amanat nasional;Jawa Timur II
H. ANANG LUKMAN S.Ag., M.Pd.I;partai bulan bintang;Jawa Barat XI
H. ANDA SE., MM;partai gerakan indonesia raya;Banten I
H. ANDI ABDUL KADIR;partai kebangkitan bangsa;Sulawesi Selatan II
H. ANDI AMRULLAH Lc, ME.I;partai keadilan sejahtera;Sumatera Selatan I
Dr H. ANDI BUDI SULISTIJANTO S.H., M.IKom;partai golongan karya;Jawa Timur I
H. ANDI IDRIS MANGGABARANI SE;partai gerakan indonesia raya;Sulawesi Selatan I
DR H. ANDI JAMARO DULUNG;partai kebangkitan bangsa;Sulawesi Selatan II
H. ANDI RUKMAN NURDIN;partai golongan karya;Dki Jakarta III
H. ANDI SURYA WIJAYA S.H, M.H.;partai persatuan pembangunan;Jawa Barat III
Drs H. ANDRADJATI MIP;persatuan indonesia;Jawa Barat III
H. ANDY AZISI AMIN SE.;partai keadilan sejahtera;Dki Jakarta I
H. ANHAR, SE;partai berkarya;Banten I
Dr H. ANTON MINARDI SIP, SH, MAg, MA;partai amanat nasional;Jawa Barat I
H. ANWAR PUA GENO S.H;partai golongan karya;Nusa Tenggara Timur I
H. APIP ISKANDAR SH,MH,M.Si;partai nasdem;Jawa Barat III
H. ARIADY ARSAL SP, M. Si;partai keadilan sejahtera;Sulawesi Selatan I
H. ARIES SANDI DARMA PUTRA SH., MH;partai amanat nasional;Lampung I
H. ARIF BUDIMAN S.SOS;partai amanat nasional;Jawa Barat V
H. ARIF WAHYUDI ME;partai keadilan sejahtera;Banten III
H. ARIP RAHMAN;partai gerakan indonesia raya;Jawa Barat I
Dr H. ARSYAD SH., M.Si.;partai gerakan indonesia raya;Dki Jakarta III
H. ASEP BADRUZZAMAN A.KS.;partai persatuan pembangunan;Jawa Barat II
Dr H. ASEP SAPSUDIN S.H., M.H., M.M;partai golongan karya;Jawa Barat I
Drs H. ASGAR ALI DJUHAEPA;partai persatuan pembangunan;Sulawesi Tengah
H. ASRI TUBBA S.P;partai persatuan pembangunan;Sulawesi Selatan II
H. ASWIN;partai golongan karya;Sumatera Utara II
Drs H. AUNUL HAKIM;partai berkarya;Jawa Timur IV
H. AWALUDIN NOOR;partai persatuan pembangunan;Kalimantan Tengah
DRS H. AWANG ANWARUDIN MH;partai solidaritas indonesia;Jawa Barat XI
Drs H. AZHARI, MM;partai berkarya;Jawa Barat I
Drs H. AZKAR BADRI MSi;persatuan indonesia;Jawa Barat III
H. AZWIR;partai bulan bintang;Sumatera Utara III
Dr H. BADARUDDIN ANDI PICUNANG ST, MM, M.AP, MT;partai berkarya;Sulawesi Selatan III
Ir H. BADRUL MUNIR M.M;partai golongan karya;Nusa Tenggara Barat I
DR IR H. BAHRUL ANIF M.T.;partai persatuan pembangunan;Sumatera Barat II
Drs H. BAHRUL ULUM M.Pd.I;partai bulan bintang;Jawa Barat V
Ir H. BAMBANG HARYO SOEKARTO;partai gerakan indonesia raya;Jawa Timur I
Drs H. BAMBANG SURYADI;partai demokrasi indonesia perjuangan;Jawa Barat IX
Ir H. BAMBANG SUTONO M.Si;partai berkarya;Jawa Timur I
H. BAMBANG SUTOPO SEI, MM;partai keadilan sejahtera;Jawa Tengah VIII
Dr H. BARDIYANSYAH M.M.;partai golongan karya;Kalimantan Selatan II
H. BASRUN YUSUF SH;partai amanat nasional;Aceh II
H. BENNY SUHARTO;partai amanat nasional;Bengkulu
H. BIEM TRIANI BENJAMIN B.Sc., M.M.;partai gerakan indonesia raya;Dki Jakarta II
H. BOWO SIDIK PANGARSO S.E.;partai golongan karya;Jawa Tengah II
H. BUDI SANTOSA;partai keadilan sejahtera;Jawa Tengah VI
Ir H. BUHARI KAHAR MUZAKKAR MM;partai amanat nasional;Sulawesi Selatan III
Drs H. BURHANUDDIN BT M.M;partai kebangkitan bangsa;Sulawesi Selatan I
Ir H. BURHANUDDIN LAMADJIDO MSF;partai amanat nasional;Sulawesi Tengah
DRS H. BURHANUDDIN PASARIBU;partai kebangkitan bangsa;Sumatera Barat II
H. CEP MIMIT;partai berkarya;Jawa Barat XI
H. CHAIRUL WALID S.Pd , M.Si;partai keadilan sejahtera;Jambi
Ir H. CHANDRA TIRTAWIJAYA;partai amanat nasional;Jawa Barat X
H. DADAN MUCHAMMAD R. S.E;partai golongan karya;Banten I
H. DADANG S. EKADIREJA S.IP;partai berkarya;Jawa Barat I
H. DADANG SUMPENA;partai keadilan sejahtera;Jawa Barat II
H. DAIRUL SE., M.Si;partai gerakan indonesia raya;Jawa Tengah X
Dr H. DANI HAMDANI M.Pd;partai keadilan sejahtera;Bengkulu
H. DARIS SH;partai gerakan indonesia raya;Jawa Barat VII
H. DARMADI DJUFRI S.H., M.H.;partai demokrasi indonesia perjuangan;Sumatera Selatan I
H. DARWAN ALI;partai amanat nasional;Kalimantan Tengah
H. DEDE MUHARAM Lc;partai gerakan indonesia raya;Jawa Barat VIII
DRS H. DEDEN HAMDAN M;partai kebangkitan bangsa;Jawa Barat II
Ir H. DEDI NURYANA FIRDAUS MH;partai berkarya;Jawa Barat IX
H. DEDI SUHARDADI SH., SE;partai bulan bintang;Jawa Barat VI
Dr H. DEDING ISHAK S.H., M.M.;partai golongan karya;Jawa Barat III
H. DEKY PURNAMA;partai amanat nasional;Jawa Barat III
IR H. DIDI APRIADI M.AK.;partai persatuan pembangunan;Sumatera Selatan I
H. DIDI MAWARDI S.P;partai keadilan sejahtera;Lampung I
Dr H. DIDI SUPRIJADI MM;partai gerakan indonesia raya;Dki Jakarta I
H. DIDI SUPRIYANTO SH, M.Hum;partai nasdem;Jawa Tengah IV
Drs H. DIDIK AGUS T M.Pd;partai keadilan sejahtera;Jawa Barat II
Ir H. DIDIK HARIYANTO;partai gerakan indonesia raya;Jawa Barat V
H. DIDING SAEFUDDIN ZUHRI S.AG.;partai persatuan pembangunan;Jawa Barat VI
PROF. Dr H. DJAALI;partai amanat nasional;Sulawesi Tenggara
Drs H. DJABARUDDIN AHMAD ME;partai gerakan indonesia raya;Sumatera Selatan I
H. DJAMURIS;partai keadilan sejahtera;Nusa Tenggara Barat II
Ir H. DODDY IMRON CHOLID M.S;partai golongan karya;Jawa Barat II
DR H. DON MURDONO SH MSi;partai gerakan indonesia raya;Jawa Barat IX
Drs H. DUDIN SA?DUDIN M.Si;partai amanat nasional;Jawa Barat II
H. DUDUNG AGUS SUHARTO S.Sos;partai golongan karya;Kalimantan Barat I
H. E. SYAMSUL BACHRI ARSUDIN;partai berkarya;Banten I
Ir H. EDI SURYADI;partai berkarya;Kalimantan Selatan I
H. EDY KUSCAHYANTO S.Si;partai demokrasi indonesia perjuangan;Jawa Barat XI
H. EDY MULYADI;partai keadilan sejahtera;Dki Jakarta III
H. EK BUDI SANTOSO SE.,MM;persatuan indonesia;Jawa Barat VII
Drs H. EKA SANTOSA;partai berkarya;Jawa Barat X
H. EKO SUSILO NURHIDAYAT SE.MM;partai gerakan indonesia raya;Jawa Timur III
H. EKO SYAIFUL ROHMAN;partai keadilan sejahtera;Jawa Barat V
H. EKOS ALBAR SE.,MM;partai amanat nasional;Sumatera Barat II
H. ELVIN SE., MH;partai gerakan indonesia raya;Dki Jakarta II
Dr. Drs H. EMAN SUDIRMAN MS;partai berkarya;Jawa Barat IX
DR H. EMRIZAL PAKIS SE., MM;partai persatuan pembangunan;Riau II
dr H. ENCEP SUGIANA;partai keadilan sejahtera;Jawa Barat IX
DRS H. ENDANG DJAKATELA MM MSI;partai kebangkitan bangsa;Jawa Barat IV
H. ERVAN MAKSUM ST;partai persatuan pembangunan;Jawa Barat I
H. ERWAN ARDIAN SIMBOLON SH;partai berkarya;Riau II
H. ERWIN IZHARUDDIN SE;partai amanat nasional;Kalimantan Timur
H. FACHRUDIN MUHAMAD SH, MH;partai keadilan sejahtera;Nusa Tenggara Timur I
H. FAF ADISISWO SE., MM;partai gerakan indonesia raya;Jawa Timur IV
Drs H. FAHRULLAZI;partai berkarya;Riau I
H. FAKIH USMAN;partai golongan karya;Banten II
H. FANDI ACHMAD;partai amanat nasional;Jawa Timur XI
H. FATCHUDDIN S.E;partai golongan karya;Jawa Tengah IX
Ir H. FATHAN A. RASYID M. Ag;partai keadilan sejahtera;Kalimantan Barat II
H. FAUZAN S.PD, M.M.;partai persatuan pembangunan;Jawa Timur III
Drs H. FAUZI;partai kebangkitan bangsa;Sumatera Barat I
H. FEBBY DATUAK BANGSO;partai kebangkitan bangsa;Sumatera Barat II
H. FEBRIAN AMANDA SHI;partai gerakan indonesia raya;Riau I
Dr H. FERRY JOKO YULIANTONO;partai gerakan indonesia raya;Jawa Tengah IV
IR H. GATOT LUPRIJATOMO MM;persatuan indonesia;Jawa Tengah VIII
DR H. GATOT SUJONO;partai persatuan pembangunan;Jawa Timur I
H. GILAR BUDI RAHARJA ST., M.SC.;partai keadilan sejahtera;Jawa Barat III
H. GUGUS JOKO WASKITO;partai persatuan pembangunan;Jawa Timur VIII
H. GUNADI IBRAHIM SE;partai gerakan indonesia raya;Lampung I
Ir H. GUNAWAN HASAN;partai berkarya;Jawa Barat V
Drs H. HADI TUGUR M.Pd., MM;partai nasdem;Jawa Timur IX
H. HAMDHANI S.IP, M.Sos;partai nasdem;Kalimantan Tengah
Prof. Dr H. HAMKA HAQ M.A.;partai demokrasi indonesia perjuangan;Jawa Timur II
H. HAMSUARDI S. Ag;partai keadilan sejahtera;Sumatera Barat II
H. HANDY SUCITRA SH;persatuan indonesia;Jawa Barat III
H. HARDISOESILO;partai golongan karya;Jawa Timur III
H. HARIS SETIAWAN SE, MM;partai persatuan pembangunan;Jawa Barat V
H. HARIYANTO HARI WIJAYA ST;partai gerakan indonesia raya;Jawa Timur III
H. HARMAN RAHMAT PANDIPA SE;partai berkarya;Sulawesi Tengah
Ir H. HARRIS SIMBOLON;partai demokrasi indonesia perjuangan;Sumatera Utara II
H. HARRY WITJAKSONO SH. MH;partai nasdem;Jawa Barat VI
H. HARUN SH, MH;partai kebangkitan bangsa;Sumatera Utara I
H. HASAN ASY`ARI M.SI;partai kebangkitan bangsa;Jawa Tengah VII
H. HASAN ZAINAL ABIDIN EZ SE., MM;partai gerakan indonesia raya;Jawa Barat III
Ir H. HASANUSI MM;partai keadilan sejahtera;Kalimantan Barat I
Ir H. HASRUL M.Si;partai gerakan indonesia raya;Riau II
Drs H. HASRUL AZWAR MM;partai persatuan pembangunan;Sumatera Utara I
Ir H. HAZMI SETIADI MT;partai amanat nasional;Riau II
H. HEFNI KADIR SE.,M.M;partai bulan bintang;Jambi
H. HENDRA HERMANSYAH SE;persatuan indonesia;Kalimantan Timur
H. HENDRY MUNIEF MBA;partai keadilan sejahtera;Riau I
H. HERI PRAMBONO, ST. MM;partai keadilan sejahtera;Lampung I
DR H. HERI SOLEHUDIN ATMAWIDJAJA MM;partai persatuan pembangunan;Jawa Barat X
Ir H. HERISON SH., M.H.;persatuan indonesia;Lampung I
Ir H. HERMAN AGUS MACHMUD MP;partai gerakan indonesia raya;Sulawesi Selatan II
H. HERMANSYAH S.H;partai golongan karya;Jawa Barat IX
H. HERRY NOEGROHO SE., MH;partai kebangkitan bangsa;Jawa Timur VI
H. HERU CIPTO NUGROHO S.Sos;partai amanat nasional;Jawa Tengah V
Dr. H. HERY ERDI SE.MM;persatuan indonesia;Lampung II
DR H. HISBULLAH A MUKMININ SH., M.Si;partai amanat nasional;Jawa Barat III
Drs H. HUMAIDI;partai golongan karya;Nusa Tenggara Barat II
H. HUSBIANNAS ALSI S.Sos;partai demokrasi indonesia perjuangan;Sulawesi Selatan II
Drs H. IBNU MUNZIR M.AP;partai golongan karya;Sulawesi Barat
Drs H. IBRAHIM ISHAKA M.M.;partai berkarya;Nusa Tenggara Barat I
H. IDHAM KHOLID, SH. MH.;partai nasdem;Jawa Tengah II
H. IDRIS SANDIYA;partai amanat nasional;Jawa Barat VI
